geneids	uniprotids
TcCLB.506177.60	Q4DHT6
TcCLB.506177.70	Q4DHT5
TcCLB.506177.80	Q4DHT4
TcCLB.506177.90	Q4DHT3
TcCLB.506179.10	Q4D1K3
TcCLB.506179.20	Q4D1K2
TcCLB.506179.30	Q4D1K1
TcCLB.506179.40	Q4D1K0
TcCLB.506179.5	Q4D1K4
TcCLB.506179.50	Q4D1J9
TcCLB.506179.59	Q4D1J8
TcCLB.506181.10	Q4DHK4
TcCLB.506181.104	Q4DHJ4
TcCLB.506181.110	Q4DHJ3
TcCLB.506181.120	Q4DHJ2
TcCLB.506181.130	Q4DHJ1
TcCLB.506181.140	Q4DHJ0
TcCLB.506181.150	Q4DHI9
TcCLB.506181.20	Q4DHK3
TcCLB.506181.30	Q4DHK2
TcCLB.506181.40	Q4DHK1
TcCLB.506181.50	Q4DHK0
TcCLB.506181.59	Q4CSL1
TcCLB.506181.70	Q4DHJ8
TcCLB.506181.80	Q4DHJ7
TcCLB.506181.90	Q4DHJ6
TcCLB.506181.97	Q4DHJ5
TcCLB.506183.20	Q4DJP4
TcCLB.506183.70	Q4DJP3
TcCLB.506183.80	Q4DJP2
TcCLB.506183.9	Q4DJP5
TcCLB.506185.20	Q4CLG8
TcCLB.506187.20	Q4D1G5
TcCLB.506187.50	Q4D1G4
TcCLB.506189.10	Q4CNK1
TcCLB.506189.20	Q4CNK0
TcCLB.506189.30	Q4CNJ9
TcCLB.506191.39	Q4D523
TcCLB.506191.58	Q4D522
TcCLB.506193.10	Q4D2P6
TcCLB.506193.20	Q4D2P5
TcCLB.506193.60	Q4D2P4
TcCLB.506195.110	Q4DXL5
TcCLB.506195.120	Q4DXL4
TcCLB.506195.130	Q4DXL3
TcCLB.506195.140	Q4DXL2
TcCLB.506195.150	Q4DXL1
TcCLB.506195.160	Q4DXL0
TcCLB.506195.170	Q4DXK9
TcCLB.506195.180	Q4DXK8
TcCLB.506195.190	Q4DXK7
TcCLB.506195.200	Q4DXK6
TcCLB.506195.210	Q4DXK5
TcCLB.506195.220	Q4DXK4
TcCLB.506195.230	Q4DXK3
TcCLB.506195.240	Q4DXK2
TcCLB.506195.25	Q4DXM2
TcCLB.506195.250	Q4DXK1
TcCLB.506195.260	Q4DXK0
TcCLB.506195.270	Q4DXJ9
TcCLB.506195.280	Q4DXJ8
TcCLB.506195.290	Q4DXJ7
TcCLB.506195.300	Q4DXJ6
TcCLB.506195.309	Q4DXJ5
TcCLB.506195.40	Q4DXM1
TcCLB.506195.50	Q4DXM0
TcCLB.506195.60	Q4DXL9
TcCLB.506195.70	Q4DXL8
TcCLB.506195.80	Q4DXL7
TcCLB.506195.90	Q4DXL6
TcCLB.506197.10	Q4CL43
TcCLB.506199.10	Q4CN45
TcCLB.506199.20	Q4CN44
TcCLB.506199.30	Q4CN43
TcCLB.506199.5	Q4D0Y6
TcCLB.506201.10	Q4DG89
TcCLB.506201.100	Q4DG79
TcCLB.506201.110	Q4DG78
TcCLB.506201.120	Q4DG77
TcCLB.506201.130	Q4DG76
TcCLB.506201.140	Q4DG75
TcCLB.506201.150	Q4DG74
TcCLB.506201.154	Q4DG73
TcCLB.506201.160	Q4DG72
TcCLB.506201.170	Q4DG71
TcCLB.506201.20	Q4DG88
TcCLB.506201.30	Q4DG87
TcCLB.506201.39	Q4DG86
TcCLB.506201.4	Q4DG90
TcCLB.506201.50	Q4DG85
TcCLB.506201.60	Q4DG84
TcCLB.506201.70	Q4DG83
TcCLB.506201.80	Q4CV19
TcCLB.506201.84	Q4DG81
TcCLB.506201.90	Q4DG80
TcCLB.506203.10	Q4DN15
TcCLB.506203.100	Q4DN05
TcCLB.506203.110	Q4DN04
TcCLB.506203.120	Q4DN03
TcCLB.506203.129	Q4DN02
TcCLB.506203.20	Q4DN14
TcCLB.506203.25	Q4DN13
TcCLB.506203.30	Q4DN12
TcCLB.506203.40	Q4DN11
TcCLB.506203.50	Q4DN10
TcCLB.506203.60	Q4DN09
TcCLB.506203.70	Q4DN08
TcCLB.506203.80	Q4DN07
TcCLB.506203.90	Q4DN06
TcCLB.506205.10	Q4CU03
TcCLB.506205.20	Q4CU02
TcCLB.506205.30	Q4CU01
TcCLB.506205.40	Q4CU00
TcCLB.506205.49	Q4CTZ9
TcCLB.506207.10	Q4CW56
TcCLB.506207.20	Q4CW55
TcCLB.506207.30	Q4CW54
TcCLB.506207.40	Q4CW53
TcCLB.506207.50	Q4CW52
TcCLB.506209.19	Q4D0C3
TcCLB.506209.70	Q4D0C2
TcCLB.506211.10	Q4DYL7
TcCLB.506211.100	Q4DYK9
TcCLB.506211.107	Q4DYK8
TcCLB.506211.114	Q4DYK7
TcCLB.506211.120	Q4DYK6
TcCLB.506211.130	Q4DYK5
TcCLB.506211.140	Q4DYK4
TcCLB.506211.150	Q4DYK3
TcCLB.506211.160	Q4DYK2
TcCLB.506211.170	Q4DYK1
TcCLB.506211.180	Q4DYK0
TcCLB.506211.190	Q4DYJ9
TcCLB.506211.20	Q4DYL6
TcCLB.506211.200	Q4DYJ8
TcCLB.506211.210	Q4DYJ7
TcCLB.506211.220	Q4DYJ6
TcCLB.506211.230	Q4DYJ5
TcCLB.506211.240	Q4DYJ4
TcCLB.506211.250	Q4DYJ3
TcCLB.506211.259	Q4DYJ2
TcCLB.506211.30	Q4DYL5
TcCLB.506211.40	Q4DYL4
TcCLB.506211.50	Q4DYL3
TcCLB.506211.60	Q4DYL2
TcCLB.506211.70	Q4DYL1
TcCLB.506211.80	Q4DYL0
TcCLB.506213.10	Q4DC29
TcCLB.506213.100	Q4DC21
TcCLB.506213.110	Q4DC20
TcCLB.506213.120	Q4DC19
TcCLB.506213.20	Q4DC28
TcCLB.506213.30	Q4DC27
TcCLB.506213.40	Q4DC26
TcCLB.506213.60	Q4DIZ9
TcCLB.506213.70	Q4DC24
TcCLB.506213.80	Q4DC23
TcCLB.506213.90	Q4DC22
TcCLB.506215.19	Q4CR91
TcCLB.506217.10	Q4CVZ6
TcCLB.506217.30	Q4CVZ5
TcCLB.506217.40	Q4CVZ4
TcCLB.506219.10	Q4CR37
TcCLB.506219.20	Q4CR36
TcCLB.506219.30	Q4CR35
TcCLB.506219.40	Q4CR34
TcCLB.506221.100	Q4D8M6
TcCLB.506221.110	Q4D8M5
TcCLB.506221.120	Q4D8M4
TcCLB.506221.129	Q4D8M3
TcCLB.506221.20	Q4D8N3
TcCLB.506221.30	Q4D8N2
TcCLB.506221.40	Q4D8N1
TcCLB.506221.50	Q4D8N0
TcCLB.506221.70	Q4D8M9
TcCLB.506221.80	Q4D8M8
TcCLB.506221.90	Q4D8M7
TcCLB.506223.10	Q4DEZ1
TcCLB.506223.100	Q4DEY1
TcCLB.506223.110	Q4DEY0
TcCLB.506223.120	Q4DEX9
TcCLB.506223.130	Q4DEX8
TcCLB.506223.20	Q4DEZ0
TcCLB.506223.30	Q4DEY9
TcCLB.506223.40	Q4DEY8
TcCLB.506223.50	Q4DEY7
TcCLB.506223.60	Q4DEY6
TcCLB.506223.70	Q4DEY5
TcCLB.506223.80	Q4DEY4
TcCLB.506223.84	Q4DEY3
TcCLB.506223.90	Q4DEY2
TcCLB.506227.10	Q4DSW7
TcCLB.506227.100	Q4DSW0
TcCLB.506227.110	Q4DSV9
TcCLB.506227.120	Q4DSV8
TcCLB.506227.130	Q4DSV7
TcCLB.506227.140	Q4DSV6
TcCLB.506227.150	Q4DSV5
TcCLB.506227.160	Q4DSV4
TcCLB.506227.170	Q4DSV3
TcCLB.506227.180	Q4DSV2
TcCLB.506227.190	Q4DSV1
TcCLB.506227.20	Q4DSW6
TcCLB.506227.200	Q4DSV0
TcCLB.506227.205	Q4DSU9
TcCLB.506227.210	Q4DSU8
TcCLB.506227.220	Q4DSU7
TcCLB.506227.230	Q4DSU6
TcCLB.506227.240	Q4DSU5
TcCLB.506227.250	Q4DSU4
TcCLB.506227.30	Q4DSW5
TcCLB.506227.40	Q4DSW4
TcCLB.506227.50	Q4DSW3
TcCLB.506227.80	Q4DSW2
TcCLB.506227.90	Q4DSW1
TcCLB.506229.10	Q4D4Q4
TcCLB.506229.20	Q4D4Q3
TcCLB.506229.30	Q4D4Q2
TcCLB.506229.40	Q4D4Q1
TcCLB.506229.50	Q4D4Q0
TcCLB.506229.60	Q4D4P9
TcCLB.506229.64	Q4D4P8
TcCLB.506229.70	Q4D4P7
TcCLB.506231.10	Q4CUC3
TcCLB.506233.10	Q4CUC2
TcCLB.506235.10	Q4CSK4
TcCLB.506235.20	Q4CSK3
TcCLB.506237.10	Q4CMH0
TcCLB.506237.19	Q4CMG9
TcCLB.506239.10	Q4D032
TcCLB.506239.20	Q4D031
TcCLB.506239.30	Q4D030
TcCLB.506239.40	Q4D029
TcCLB.506239.50	Q4D028
TcCLB.506239.60	Q4D027
TcCLB.506241.100	Q4DU35
TcCLB.506241.124	Q4DU34
TcCLB.506241.150	Q4DU33
TcCLB.506241.160	Q4DU32
TcCLB.506241.170	Q4DU31
TcCLB.506241.19	Q4DU43
TcCLB.506241.190	Q4DU30
TcCLB.506241.200	Q4DU29
TcCLB.506241.30	Q4DU42
TcCLB.506241.40	Q4DU41
TcCLB.506241.50	Q4DU40
TcCLB.506241.60	Q4DU39
TcCLB.506241.70	Q4DU38
TcCLB.506241.80	Q4DU37
TcCLB.506241.90	Q4DU36
TcCLB.506243.110	Q4DE40
TcCLB.506245.150	Q4E105
TcCLB.506245.160	Q4E104
TcCLB.506245.190	Q4E103
TcCLB.506245.200	Q4E102
TcCLB.506245.210	Q4E101
TcCLB.506245.220	Q4E100
TcCLB.506245.250	Q4E0Z9
TcCLB.506245.270	Q4E0Z8
TcCLB.506245.302	Q4E0Z7
TcCLB.506245.60	Q4E106
TcCLB.506247.10	Q4E156
TcCLB.506247.100	Q4E145
TcCLB.506247.110	Q4E144
TcCLB.506247.120	Q4E143
TcCLB.506247.130	Q4E142
TcCLB.506247.140	Q4E141
TcCLB.506247.150	Q4E140
TcCLB.506247.160	Q4E139
TcCLB.506247.170	Q4E138
TcCLB.506247.180	Q4E137
TcCLB.506247.190	Q4E136
TcCLB.506247.20	Q4E155
TcCLB.506247.200	Q4E135
TcCLB.506247.210	Q4E134
TcCLB.506247.220	Q4E133
TcCLB.506247.230	Q4E132
TcCLB.506247.24	Q4E154
TcCLB.506247.240	Q4E131
TcCLB.506247.250	Q4E130
TcCLB.506247.260	Q4E129
TcCLB.506247.270	Q4E128
TcCLB.506247.280	Q4E127
TcCLB.506247.290	Q4E126
TcCLB.506247.30	Q4E153
TcCLB.506247.300	Q4E125
TcCLB.506247.310	Q4E124
TcCLB.506247.320	Q4E123
TcCLB.506247.330	Q4E122
TcCLB.506247.340	Q4E121
TcCLB.506247.350	Q4E120
TcCLB.506247.355	Q4E119
TcCLB.506247.360	Q4E118
TcCLB.506247.370	Q4E117
TcCLB.506247.380	Q4E116
TcCLB.506247.390	Q4E115
TcCLB.506247.40	Q4E152
TcCLB.506247.400	Q4E114
TcCLB.506247.410	Q4E113
TcCLB.506247.420	Q4E112
TcCLB.506247.430	Q4E111
TcCLB.506247.440	Q4E110
TcCLB.506247.450	Q4E109
TcCLB.506247.460	Q4E108
TcCLB.506247.470	Q4E107
TcCLB.506247.50	Q4E151
TcCLB.506247.60	Q4E150
TcCLB.506247.70	Q4E149
TcCLB.506247.74	Q4E148
TcCLB.506247.80	Q4E147
TcCLB.506247.90	Q4E146
TcCLB.506249.10	Q4CX13
TcCLB.506249.20	Q4CX12
TcCLB.506249.30	Q4CX11
TcCLB.506249.40	Q4CX10
TcCLB.506249.50	Q4CX09
TcCLB.506249.60	Q4CX08
TcCLB.506249.70	Q4CX07
TcCLB.506251.10	Q4DH23
TcCLB.506251.100	Q4DH18
TcCLB.506251.110	Q4DH17
TcCLB.506251.120	Q4DH16
TcCLB.506251.20	Q4DH22
TcCLB.506251.30	Q4DH21
TcCLB.506251.40	Q4DH20
TcCLB.506251.50	Q4DH19
TcCLB.506253.21	Q4CSN3
TcCLB.506253.30	Q4CSN2
TcCLB.506253.39	Q4CSN1
TcCLB.506255.20	Q4CNU4
TcCLB.506255.30	Q4CNU3
TcCLB.506257.10	Q4D3M7
TcCLB.506257.5	Q4D3M8
TcCLB.506257.50	Q4D3M6
TcCLB.506257.60	Q4D3M5
TcCLB.506257.70	Q4D3M4
TcCLB.506257.80	Q4D3M3
TcCLB.506261.10	Q4CMD9
TcCLB.506263.10	Q4CU52
TcCLB.506263.20	Q4CU51
TcCLB.506263.30	Q4CU50
TcCLB.506263.40	Q4CU49
TcCLB.506263.49	Q4CU48
TcCLB.506265.10	Q4DT26
TcCLB.506265.100	Q4DT16
TcCLB.506265.110	Q4DT15
TcCLB.506265.114	Q4DT14
TcCLB.506265.120	Q4DT13
TcCLB.506265.130	Q4DT12
TcCLB.506265.140	Q4DT11
TcCLB.506265.150	Q4DT10
TcCLB.506265.160	Q4DT09
TcCLB.506265.170	Q4DT08
TcCLB.506265.180	Q4DT07
TcCLB.506265.190	Q4DT06
TcCLB.506265.20	Q4DT25
TcCLB.506265.200	Q4DT05
TcCLB.506265.209	Q4DT04
TcCLB.506265.30	Q4DT24
TcCLB.506265.40	Q4DT23
TcCLB.506265.45	Q4DT22
TcCLB.506265.50	Q4DT21
TcCLB.506265.60	Q4DT20
TcCLB.506265.70	Q4DT19
TcCLB.506265.80	Q4DT18
TcCLB.506265.90	Q4DT17
TcCLB.506267.10	Q4DCF0
TcCLB.506267.19	Q4DCE9
TcCLB.506267.30	Q4DCE8
TcCLB.506267.48	Q4DCE7
TcCLB.506267.60	Q4DCE6
TcCLB.506267.70	Q4DCE5
TcCLB.506267.80	Q4DCE4
TcCLB.506267.90	Q4DCE3
TcCLB.506269.10	Q4D4B4
TcCLB.506269.25	Q4D4B3
TcCLB.506269.40	Q4D4B2
TcCLB.506269.70	Q4D4B1
TcCLB.506269.90	Q4D4B0
TcCLB.506269.99	Q4D4A9
TcCLB.506271.30	Q4CNM6
TcCLB.506275.110	Q4D721
TcCLB.506275.121	Q4D720
TcCLB.506275.20	Q4D729
TcCLB.506275.30	Q4D728
TcCLB.506275.40	Q4D727
TcCLB.506275.50	Q4D726
TcCLB.506275.60	Q4D725
TcCLB.506275.70	Q4D724
TcCLB.506275.80	Q4D723
TcCLB.506275.9	Q4D730
TcCLB.506275.90	Q4D722
TcCLB.506277.10	Q4CRE6
TcCLB.506277.3	Q4CRE7
TcCLB.506279.10	Q4DRK6
TcCLB.506279.100	Q4DRK2
TcCLB.506279.120	Q4DRK1
TcCLB.506279.140	Q4DRK0
TcCLB.506279.179	Q4DRJ9
TcCLB.506279.200	Q4DRJ8
TcCLB.506279.30	Q4DRK5
TcCLB.506279.60	Q4DRK4
TcCLB.506279.90	Q4DRK3
TcCLB.506281.134	Q4DC46
TcCLB.506281.14	Q4DC52
TcCLB.506281.20	Q4DC51
TcCLB.506281.35	Q4DC50
TcCLB.506281.50	Q4DC49
TcCLB.506281.7	Q4DC53
TcCLB.506281.70	Q4DC48
TcCLB.506281.90	Q4DC47
TcCLB.506283.20	Q4CQV9
TcCLB.506285.10	Q4DFR2
TcCLB.506285.120	Q4DFQ8
TcCLB.506285.50	Q4DFR1
TcCLB.506285.80	Q4DFR0
TcCLB.506285.90	Q4DFQ9
TcCLB.506287.100	Q4DIX3
TcCLB.506287.120	Q4DIX2
TcCLB.506287.130	Q4DIX1
TcCLB.506287.140	Q4DIX0
TcCLB.506287.150	Q4DIW9
TcCLB.506287.170	Q4DIW8
TcCLB.506287.180	Q4DIW7
TcCLB.506287.20	Q4DIX7
TcCLB.506287.200	Q4DIW6
TcCLB.506287.209	Q4DIW5
TcCLB.506287.30	Q4DIX6
TcCLB.506287.80	Q4DIX5
TcCLB.506287.9	Q4DIX8
TcCLB.506287.90	Q4DIX4
TcCLB.506289.120	Q4DVZ1
TcCLB.506289.130	Q4DVZ0
TcCLB.506289.140	Q4DVY9
TcCLB.506289.150	Q4DVY8
TcCLB.506289.160	Q4DVY7
TcCLB.506289.170	Q4DVY6
TcCLB.506289.20	Q4DW00
TcCLB.506289.200	Q4DVY5
TcCLB.506289.210	Q4DVY4
TcCLB.506289.240	Q4DVY3
TcCLB.506289.30	Q4DVZ9
TcCLB.506289.40	Q4DVZ8
TcCLB.506289.50	Q4DVZ7
TcCLB.506289.60	Q4DVZ6
TcCLB.506289.70	Q4DVZ5
TcCLB.506289.74	Q4DVZ4
TcCLB.506289.80	Q4DVZ3
TcCLB.506289.9	Q4DW01
TcCLB.506289.94	Q4DVZ2
TcCLB.506291.10	Q4CVJ9
TcCLB.506291.20	Q4CVJ8
TcCLB.506295.100	Q4DEQ6
TcCLB.506295.110	Q4DEQ5
TcCLB.506295.120	Q4DEQ4
TcCLB.506295.130	Q4DEQ3
TcCLB.506295.140	Q4DEQ2
TcCLB.506295.150	Q4DEQ1
TcCLB.506295.160	Q4DEQ0
TcCLB.506295.30	Q4DER3
TcCLB.506295.40	Q4DER2
TcCLB.506295.50	Q4DER1
TcCLB.506295.60	Q4DER0
TcCLB.506295.70	Q4DEQ9
TcCLB.506295.80	Q4DEQ8
TcCLB.506295.90	Q4DEQ7
TcCLB.506297.10	Q4E0R7
TcCLB.506297.110	Q4E0Q8
TcCLB.506297.120	Q4E0Q7
TcCLB.506297.130	Q4E0Q6
TcCLB.506297.140	Q4E0Q5
TcCLB.506297.150	Q4E0Q3
TcCLB.506297.160	Q4E0Q3
TcCLB.506297.170	Q4E0Q2
TcCLB.506297.180	Q4E0Q1
TcCLB.506297.190	Q4E0Q0
TcCLB.506297.20	Q4E0R6
TcCLB.506297.200	Q4E0P9
TcCLB.506297.210	Q4E0P8
TcCLB.506297.220	Q4E0P7
TcCLB.506297.230	Q4E0P6
TcCLB.506297.240	Q4E0P5
TcCLB.506297.250	Q4E0P4
TcCLB.506297.260	Q7Z1V1
TcCLB.506297.270	Q4E0P2
TcCLB.506297.280	Q4E0P1
TcCLB.506297.290	Q4E0P0
TcCLB.506297.30	Q4E0R5
TcCLB.506297.300	Q4E0N9
TcCLB.506297.310	Q4E0N8
TcCLB.506297.320	Q4E0N7
TcCLB.506297.330	Q4E0N6
TcCLB.506297.340	Q4E0N5
TcCLB.506297.350	Q4CXX4
TcCLB.506297.40	Q4E0R4
TcCLB.506297.50	Q4E0R3
TcCLB.506297.60	Q4E0R2
TcCLB.506297.70	Q4E0R1
TcCLB.506297.80	Q4E0R0
TcCLB.506297.94	Q4E0Q9
TcCLB.506299.9	Q4CSQ4
TcCLB.506301.11	Q4D0L7
TcCLB.506301.20	Q4D0L6
TcCLB.506301.30	Q4D0L5
TcCLB.506301.40	Q4D0L4
TcCLB.506301.50	Q4D0L3
TcCLB.506301.60	Q4D0L2
TcCLB.506303.10	Q4DN50
TcCLB.506303.100	Q4DN42
TcCLB.506303.111	Q4DN41
TcCLB.506303.120	Q4DN40
TcCLB.506303.130	Q4DN39
TcCLB.506303.140	Q4DN38
TcCLB.506303.150	Q4DN37
TcCLB.506303.160	Q4DN36
TcCLB.506303.171	Q4DN35
TcCLB.506303.20	Q4DN49
TcCLB.506303.30	Q4DN48
TcCLB.506303.50	Q4DN47
TcCLB.506303.60	Q4DN46
TcCLB.506303.70	Q4DN45
TcCLB.506303.80	Q4DN44
TcCLB.506303.90	Q4DN43
TcCLB.506305.10	Q4D0B6
TcCLB.506305.20	Q4D0B5
TcCLB.506305.29	Q4D0B4
TcCLB.506305.40	Q4D0B3
TcCLB.506305.5	Q4D0B7
TcCLB.506307.10	Q4CLB5
TcCLB.506309.110	Q4DM95
TcCLB.506309.140	Q4DM94
TcCLB.506309.150	Q4DM93
TcCLB.506309.30	Q4DMA1
TcCLB.506309.34	Q4DMA0
TcCLB.506309.40	Q4DM99
TcCLB.506309.60	Q4DM98
TcCLB.506309.70	Q4DM97
TcCLB.506309.80	Q4DM96
TcCLB.506311.20	Q4CSW9
TcCLB.506311.30	Q4CSW8
TcCLB.506313.10	Q4CMJ5
TcCLB.506315.10	Q4D7A4
TcCLB.506315.100	Q4D795
TcCLB.506315.20	Q4D7A3
TcCLB.506315.30	Q4D7A2
TcCLB.506315.40	Q4D7A1
TcCLB.506315.50	Q4D7A0
TcCLB.506315.60	Q4D799
TcCLB.506315.70	Q4D798
TcCLB.506315.80	Q4D797
TcCLB.506315.90	Q4D796
TcCLB.506317.10	Q4CVC6
TcCLB.506317.20	Q4CVC5
TcCLB.506319.10	Q4D7H3
TcCLB.506319.20	Q4D7H2
TcCLB.506319.30	Q4D7H1
TcCLB.506319.40	Q4D7H0
TcCLB.506319.5	Q4D7H4
TcCLB.506319.50	Q4D7G9
TcCLB.506319.60	Q4D7G8
TcCLB.506319.70	Q4D7G7
TcCLB.506321.10	Q4DYF7
TcCLB.506321.110	Q4DYF2
TcCLB.506321.120	Q4DYF1
TcCLB.506321.130	Q4DYF0
TcCLB.506321.140	Q4DYE9
TcCLB.506321.180	Q4DYE8
TcCLB.506321.190	Q4DYE7
TcCLB.506321.20	Q4DYF6
TcCLB.506321.200	Q4DYE6
TcCLB.506321.210	Q4DYE5
TcCLB.506321.230	Q4DYE4
TcCLB.506321.240	Q4DYE3
TcCLB.506321.260	Q4DYE2
TcCLB.506321.270	Q4DYE1
TcCLB.506321.280	Q4DYE0
TcCLB.506321.290	Q4DYD9
TcCLB.506321.30	Q4DYF5
TcCLB.506321.300	Q4DYD8
TcCLB.506321.310	Q4DYD7
TcCLB.506321.320	Q4DYD6
TcCLB.506321.330	Q4DYD5
TcCLB.506321.340	Q4DYD4
TcCLB.506321.350	Q4DYD3
TcCLB.506321.359	Q4DYD2
TcCLB.506321.40	Q4DYF4
TcCLB.506321.50	Q4DYF3
TcCLB.506323.30	Q4D0U5
TcCLB.506325.10	Q4CYN0
TcCLB.506327.10	Q4DBH0
TcCLB.506327.20	Q4DBG9
TcCLB.506327.30	Q4DBG8
TcCLB.506327.40	Q4DBG7
TcCLB.506327.50	Q4DBG6
TcCLB.506327.60	Q4DBG5
TcCLB.506327.70	Q4DBG4
TcCLB.506327.80	Q4DBG3
TcCLB.506327.90	Q4DBG2
TcCLB.506327.99	Q4DBG1
TcCLB.506329.20	Q4D5J0
TcCLB.506329.50	Q4D5I9
TcCLB.506329.70	Q4D5I8
TcCLB.506331.130	Q4DV16
TcCLB.506331.30	Q4DV19
TcCLB.506331.64	Q4DV18
TcCLB.506331.90	Q4DV17
TcCLB.506333.10	Q4CNY1
TcCLB.506333.19	Q4CNY0
TcCLB.506335.100	Q4DGB6
TcCLB.506335.130	Q4DGB5
TcCLB.506335.15	Q4DGB9
TcCLB.506335.50	Q4DGB8
TcCLB.506335.80	Q4DGB7
TcCLB.506335.9	Q4DGC0
TcCLB.506337.10	Q4DKY7
TcCLB.506337.100	Q4DKX9
TcCLB.506337.120	Q4DKX8
TcCLB.506337.130	Q4DKX7
TcCLB.506337.140	Q4DKX6
TcCLB.506337.150	Q4DKX5
TcCLB.506337.160	Q4DKX4
TcCLB.506337.180	Q4DKX3
TcCLB.506337.190	Q4DKX2
TcCLB.506337.20	Q4DKY6
TcCLB.506337.200	Q4DKX1
TcCLB.506337.210	Q4DKX0
TcCLB.506337.220	Q4DKW9
TcCLB.506337.30	Q4DKY5
TcCLB.506337.4	Q4DKY8
TcCLB.506337.40	Q4DKY4
TcCLB.506337.50	Q4DKY3
TcCLB.506337.70	Q4DKY2
TcCLB.506337.80	Q4DKY1
TcCLB.506337.90	Q4CTE9
TcCLB.506339.10	Q4DJK4
TcCLB.506339.100	Q4DJK2
TcCLB.506339.40	Q4DJK3
TcCLB.506341.10	Q4CYW6
TcCLB.506341.20	Q4CYW5
TcCLB.506341.30	Q4CYW4
TcCLB.506341.40	Q4CYW3
TcCLB.506341.50	Q4CYW2
TcCLB.506343.10	Q4D334
TcCLB.506345.120	Q4DCE0
TcCLB.506345.40	Q4DCE2
TcCLB.506345.90	Q4DCE1
TcCLB.506347.5	Q4CU67
TcCLB.506349.10	Q4D2J9
TcCLB.506351.20	Q4D793
TcCLB.506351.30	Q4D792
TcCLB.506351.35	Q4D791
TcCLB.506351.40	Q4D790
TcCLB.506351.50	Q4D789
TcCLB.506351.60	Q4D788
TcCLB.506351.70	Q4D787
TcCLB.506351.80	Q4D786
TcCLB.506351.9	Q4D794
TcCLB.506351.90	Q4D785
TcCLB.506353.10	Q4CQ38
TcCLB.506355.10	Q4DKD0
TcCLB.506355.110	Q4DKC4
TcCLB.506355.120	Q4DKC3
TcCLB.506355.130	Q4DKC2
TcCLB.506355.140	Q4DKC1
TcCLB.506355.150	Q4DKC0
TcCLB.506355.160	Q4DKB9
TcCLB.506355.170	Q4DKB8
TcCLB.506355.20	Q4DKC9
TcCLB.506355.5	Q4DKD1
TcCLB.506355.50	Q4DKC8
TcCLB.506355.60	Q4DKC7
TcCLB.506355.70	Q4DKC6
TcCLB.506355.80	Q4DKC5
TcCLB.506357.10	Q4DY27
TcCLB.506357.100	Q4DY18
TcCLB.506357.110	Q4DY17
TcCLB.506357.120	Q4DY16
TcCLB.506357.130	Q4DY15
TcCLB.506357.140	Q4DY14
TcCLB.506357.150	Q4DY13
TcCLB.506357.160	Q4DY12
TcCLB.506357.170	Q4DY11
TcCLB.506357.180	Q4DY10
TcCLB.506357.190	Q4DY09
TcCLB.506357.199	Q4DY08
TcCLB.506357.20	Q4DY26
TcCLB.506357.29	Q4DY25
TcCLB.506357.40	Q4DY24
TcCLB.506357.50	Q4DY23
TcCLB.506357.60	Q4DY22
TcCLB.506357.69	Q4DY21
TcCLB.506357.80	Q4DY20
TcCLB.506357.90	Q4E5J2
TcCLB.506359.10	Q4D2V1
TcCLB.506359.40	Q4D2V0
TcCLB.506359.50	Q4D2U9
TcCLB.506359.60	Q4D2U8
TcCLB.506359.70	Q4D2U7
TcCLB.506359.80	Q4D2U6
TcCLB.506359.90	Q4D2U5
TcCLB.506359.99	Q4D2U4
TcCLB.506361.50	Q4D3A3
TcCLB.506361.9	Q4D3A4
TcCLB.506363.10	Q4DAI8
TcCLB.506363.100	Q4DAH9
TcCLB.506363.110	Q4DAH8
TcCLB.506363.120	Q4DAH7
TcCLB.506363.130	Q4DAH6
TcCLB.506363.140	Q4DAH5
TcCLB.506363.150	Q4DAH4
TcCLB.506363.159	Q4DAH3
TcCLB.506363.20	Q4DAI7
TcCLB.506363.30	Q4DAI6
TcCLB.506363.40	Q4DAI5
TcCLB.506363.50	Q4DAI4
TcCLB.506363.60	Q4DAI3
TcCLB.506363.70	Q4DAI2
TcCLB.506363.80	Q4DAI1
TcCLB.506363.90	Q4DAI0
TcCLB.506367.10	Q4DFX4
TcCLB.506367.100	Q4DFW5
TcCLB.506367.120	Q4DFW4
TcCLB.506367.130	Q4DFW3
TcCLB.506367.140	Q4DFW2
TcCLB.506367.160	Q4DFW1
TcCLB.506367.170	Q4DFW0
TcCLB.506367.174	Q4DFV9
TcCLB.506367.180	Q4DFV8
TcCLB.506367.20	Q4DFX3
TcCLB.506367.30	Q4DFX2
TcCLB.506367.40	Q4DFX1
TcCLB.506367.50	Q4DFX0
TcCLB.506367.60	Q4DFW9
TcCLB.506367.70	Q4DFW8
TcCLB.506367.80	Q4DFW7
TcCLB.506367.89	Q4DFW6
TcCLB.506369.20	Q4D047
TcCLB.506369.30	Q4D046
TcCLB.506369.40	Q4D045
TcCLB.506369.50	Q4D044
TcCLB.506369.60	Q4D043
TcCLB.506369.70	Q4D042
TcCLB.506369.9	Q4D048
TcCLB.506373.39	Q4CXZ5
TcCLB.506375.10	Q4DE81
TcCLB.506375.100	Q4DE74
TcCLB.506375.110	Q4DE73
TcCLB.506375.120	Q4DE72
TcCLB.506375.35	Q4DE80
TcCLB.506375.50	Q4DE79
TcCLB.506375.60	Q4DE78
TcCLB.506375.70	Q4DE77
