UNIPROTKB GENES
Q4DTX9 Tc00.1047053509233.160
Q4CQJ5 Tc00.1047053467287.10
Q4E450 Tc00.1047053504081.520
Q4DKU4 Tc00.1047053509769.90
Q4E5W5 Tc00.1047053508221.240
Q4DQS6 Tc00.1047053508871.40
Q4E5X8 Tc00.1047053508221.40
Q4CMM9 Tc00.1047053508721.4
Q4CPH7 Tc00.1047053509063.10
Q4CUC2 Tc00.1047053506233.10
Q4DB01 Tc00.1047053510087.50
Q4DQX1 Tc00.1047053509331.200
Q4E378 Tc00.1047053510279.210
Q4E3M5 Tc00.1047053510101.360
Q4DTQ7 Tc00.1047053509695.120
Q4CXC4 Tc00.1047053509451.70
Q4DMQ0 Tc00.1047053508899.20
Q4DPY9 Tc00.1047053509179.160
Q4DVP6 Tc00.1047053510659.210
Q4E4N0 Tc00.1047053506925.170
Q4CKH1 Tc00.1047053457109.9
Q4CVX6 Tc00.1047053511729.70
Q4DRN9 Tc00.1047053509023.70
Q4DSG3 Tc00.1047053509699.110
Q4CY85 Tc00.1047053510001.40
Q4DX85 Tc00.1047053506945.150
Q4DYA4 Tc00.1047053511817.220
Q4E3A7 Tc00.1047053508355.210
Q4E1A9 Tc00.1047053503973.110
Q4CNP8 Tc00.1047053503661.20
Q4D628 Tc00.1047053509617.80
Q4DT31 Tc00.1047053506139.110
Q4DYE1 Tc00.1047053506321.270
Q4E4N7 Tc00.1047053506925.104
Q4E5N3 Tc00.1047053506529.490
Q4CVB9 Tc00.1047053510509.50
Q4CX28 Tc00.1047053503783.70
Q4CZ47 Tc00.1047053503987.4
Q4D282 Tc00.1047053509017.24
Q4D4C8 Tc00.1047053506831.50
Q4DC67 Tc00.1047053506777.90
Q4DRA7 Tc00.1047053508181.10
Q4DPC8 Tc00.1047053508577.40
Q4DG65 Tc00.1047053511575.60
Q4DU46 Tc00.1047053504039.210
Q4DVV3 Tc00.1047053511751.120
Q4E659 Tc00.1047053508153.310
Q4D3S6 Tc00.1047053507937.60
Q4DGG3 Tc00.1047053510773.40
Q4DPK8 Tc00.1047053507801.179
Q4DZX6 Tc00.1047053506789.130
Q4DQ27 Tc00.1047053510121.20
Q4E5G1 Tc00.1047053511277.330
Q4E5Y6 Tc00.1047053508153.1090
Q4DRG2 Tc00.1047053508547.40
Q4DGW2 Tc00.1047053506975.66
Q4DSU9 Tc00.1047053506227.205
Q4DXC6 Tc00.1047053510901.90
Q4DY11 Tc00.1047053506357.170
Q4E2H5 Tc00.1047053509525.70
Q4D6F0 Tc00.1047053510799.80
Q4DA68 Tc00.1047053510339.80
Q4DL07 Tc00.1047053511649.94
Q4E4W6 Tc00.1047053511255.700
Q4CLY7 Tc00.1047053508379.29
Q4CMV9 Tc00.1047053504107.10
Q4CR00 Tc00.1047053504183.20
Q4CTV8 Tc00.1047053510057.4
Q4CYU9 Tc00.1047053510381.60
Q4D567 Tc00.1047053506883.50
Q4DDG7 Tc00.1047053503579.20
Q4D8B4 Tc00.1047053509127.110
Q4DIA2 Tc00.1047053506479.90
Q4DLU8 Tc00.1047053510575.210
Q4D848 Tc00.1047053511189.100
Q4CND7 Tc00.1047053510587.10
Q4DY77 Tc00.1047053511907.100
Q4CS86 Tc00.1047053511441.20
Q4CLZ7 Tc00.1047053511251.10
Q4DB66 Tc00.1047053508781.90
Q4CTY2 Tc00.1047053508595.11
Q4CWN8 Tc00.1047053507473.10
Q4D030 Tc00.1047053506239.30
Q4DAK7 Tc00.1047053511467.50
Q4DXJ3 Tc00.1047053506941.20
Q4E4V1 Tc00.1047053508461.130
Q4D0B6 Tc00.1047053506305.10
Q4DAQ5 Tc00.1047053503925.60
Q4CM18 Tc00.1047053503457.4
Q4CPA5 Tc00.1047053503669.30
Q4CQA1 Tc00.1047053507671.39
Q4CVG9 Tc00.1047053505843.49
Q4CZJ6 Tc00.1047053504201.44
Q4D278 Tc00.1047053509017.60
Q4E4G6 Tc00.1047053506885.360
Q4DW24 Tc00.1047053507603.50
Q4DX30 Tc00.1047053508257.260
Q4D1S8 Tc00.1047053503829.80
Q4DJW0 Tc00.1047053510879.229
Q4CZD6 Tc00.1047053503779.10
Q4CRT6 Tc00.1047053481211.10
Q4DIQ7 Tc00.1047053506635.50
Q4CL47 Tc00.1047053458153.10
Q4CN37 Tc00.1047053510427.10
Q4CPR7 Tc00.1047053511515.40
Q4CST2 Tc00.1047053412723.9
Q4CVA3 Tc00.1047053506411.10
Q4CZ55 Tc00.1047053503653.50
Q4D4I4 Tc00.1047053508745.25
Q4D676 Tc00.1047053504625.80
Q4D823 Tc00.1047053511007.20
Q4DAI8 Tc00.1047053506363.10
Q4DER1 Tc00.1047053506295.50
Q4DGX5 Tc00.1047053509213.130
Q4DJK5 Tc00.1047053505025.147
Q4DKA8 Tc00.1047053511767.20
Q4DMD5 Tc00.1047053506779.150
Q4DUK8 Tc00.1047053511245.120
Q4DW35 Tc00.1047053507681.189
Q4CVY5 Tc00.1047053509597.10
Q4D2Y0 Tc00.1047053510903.50
Q4CMA8 Tc00.1047053399033.10
Q4D857 Tc00.1047053508573.120
Q4CNB6 Tc00.1047053509325.10
Q4CRL5 Tc00.1047053504041.4
Q4DPT7 Tc00.1047053511843.35
Q4DSM5 Tc00.1047053509007.30
Q4CTY1 Tc00.1047053508595.20
Q4D1D2 Tc00.1047053503533.30
Q4E672 Tc00.1047053508153.184
Q4CLT8 Tc00.1047053510313.20
Q4CN30 Tc00.1047053507207.19
Q4D690 Tc00.1047053503583.50
Q4D8W8 Tc00.1047053506587.80
Q4DCK8 Tc00.1047053503909.40
Q4DJE8 Tc00.1047053507991.120
Q4DRJ0 Tc00.1047053507491.100
Q4DKJ0 Tc00.1047053509105.20
Q4CQH4 Tc00.1047053503619.20
Q4DRB0 Tc00.1047053509693.200
Q4D3J2 Tc00.1047053509795.10
Q4DU83 Tc00.1047053511903.110
Q4E042 Tc00.1047053506501.220
Q4CY17 Tc00.1047053505987.20
Q4D785 Tc00.1047053506351.90
Q4D9I2 Tc00.1047053508717.10
Q4DP30 Tc00.1047053506999.130
Q4DU79 Tc00.1047053511903.160
Q4E664 Tc00.1047053508153.260
Q4DMU8 Tc00.1047053511517.37
Q4DUU9 Tc00.1047053508501.140
Q4E1R9 Tc00.1047053506855.270
Q4E673 Tc00.1047053508153.180
Q4DVS0 Tc00.1047053511797.150
Q4CKG6 Tc00.1047053508459.9
Q4E4W8 Tc00.1047053511255.670
Q4E5F4 Tc00.1047053511277.400
Q4CNA1 Tc00.1047053511793.20
Q4D6G8 Tc00.1047053511557.40
Q4E2A1 Tc00.1047053511603.450
Q4E5U5 Tc00.1047053508221.670
Q4DYM1 Tc00.1047053504427.250
Q4E434 Tc00.1047053511173.270
Q4E4Q4 Tc00.1047053508461.550
Q4DRN0 Tc00.1047053509023.160
Q4DSG6 Tc00.1047053507099.130
Q4E469 Tc00.1047053504081.80
Q4CS12 Tc00.1047053504923.10
Q4CY57 Tc00.1047053510317.7
Q4DAJ4 Tc00.1047053508273.70
Q4DE46 Tc00.1047053508699.80
Q4DGR2 Tc00.1047053506799.20
Q4CKQ7 Tc00.1047053412943.9
Q4CVJ9 Tc00.1047053506291.10
Q4D295 Tc00.1047053503521.80
Q4DBX9 Tc00.1047053506977.120
Q4DJP5 Tc00.1047053506183.9
Q4CV12 Tc00.1047053511501.40
Q4CU60 Tc00.1047053510765.70
Q4DHR5 Tc00.1047053510607.80
Q4CQR0 Tc00.1047053509943.20
Q4CLK0 Tc00.1047053421321.9
Q4CX23 Tc00.1047053508295.30
Q4CZ30 Tc00.1047053503419.20
Q4CZK2 Tc00.1047053510299.60
Q4D0S2 Tc00.1047053509231.30
Q4D6D1 Tc00.1047053506673.10
Q4DFF7 Tc00.1047053506155.130
Q4DK96 Tc00.1047053509611.100
Q4CPT1 Tc00.1047053503965.30
Q4CTZ0 Tc00.1047053511203.20
Q4E347 Tc00.1047053508741.250
Q4DBV8 Tc00.1047053510357.60
Q4CT44 Tc00.1047053503555.20
Q4CXT9 Tc00.1047053509177.50
Q4CZR3 Tc00.1047053503903.79
Q4D2B5 Tc00.1047053509595.44
Q4D6H8 Tc00.1047053508823.130
Q4DBR2 Tc00.1047053508625.140
Q4DFB1 Tc00.1047053508209.94
Q4DHN6 Tc00.1047053511491.140
Q4DLU6 Tc00.1047053510575.230
Q4E0Z1 Tc00.1047053508277.60
Q4E0M5 Tc00.1047053509429.4
Q4DZY9 Tc00.1047053509805.180
Q4D3U5 Tc00.1047053505945.60
Q4D9K1 Tc00.1047053510039.100
Q4E3C6 Tc00.1047053508355.40
Q4E2K2 Tc00.1047053508479.213
Q4DGB7 Tc00.1047053506335.80
Q4DPR1 Tc00.1047053511181.70
Q4DUI4 Tc00.1047053510661.80
Q4D8L0 Tc00.1047053508097.81
Q4D949 Tc00.1047053509059.20
Q4DB25 Tc00.1047053506963.30
Q4DE98 Tc00.1047053503717.20
Q4DGW7 Tc00.1047053506975.34
Q4DJC2 Tc00.1047053508851.130
Q4DRD1 Tc00.1047053506503.150
Q4D7V9 Tc00.1047053511407.40
Q4CLT5 Tc00.1047053510779.20
Q4D2B9 Tc00.1047053504179.100
Q4D546 Tc00.1047053507969.10
Q4D7L8 Tc00.1047053509453.30
Q4DC49 Tc00.1047053506281.50
Q4DHX6 Tc00.1047053506661.80
Q4DJG4 Tc00.1047053507257.130
Q4DLA0 Tc00.1047053510933.30
Q4CVL8 Tc00.1047053508251.50
Q4CWI5 Tc00.1047053506419.60
Q4D0A1 Tc00.1047053508229.10
Q4D1E4 Tc00.1047053510075.30
Q4D311 Tc00.1047053506569.50
Q4DK75 Tc00.1047053509601.100
Q4DL30 Tc00.1047053511261.4
Q4DW68 Tc00.1047053508231.30
Q4CPW4 Tc00.1047053504605.10
Q4DDZ4 Tc00.1047053508303.50
Q4CRT1 Tc00.1047053510315.4
Q4E2H9 Tc00.1047053508479.500
Q4E5X6 Tc00.1047053508221.76
Q4E272 Tc00.1047053508707.60
Q4DPH3 Tc00.1047053510861.80
Q4DSF5 Tc00.1047053504057.21
Q4DTZ0 Tc00.1047053504155.210
Q4DVC1 Tc00.1047053511217.190
Q4E203 Tc00.1047053510693.270
Q4E3S0 Tc00.1047053506401.230
Q4E5Q1 Tc00.1047053506529.310
Q4CKF9 Tc00.1047053443403.9
Q4E4H7 Tc00.1047053506885.260
Q4DPD4 Tc00.1047053507625.200
Q4DQP5 Tc00.1047053506563.10
Q4DVN9 Tc00.1047053510659.270
Q4DJ06 Tc00.1047053511287.60
Q4DXU3 Tc00.1047053510719.140
Q4E4P8 Tc00.1047053506925.14
Q4CP30 Tc00.1047053510199.30
Q4CPF5 Tc00.1047053511339.30
Q4CVE0 Tc00.1047053507933.20
Q4D013 Tc00.1047053511803.60
Q4D0I2 Tc00.1047053511355.14
Q4D646 Tc00.1047053509755.40
Q4D836 Tc00.1047053511627.70
Q4DAJ0 Tc00.1047053508273.120
Q4DD32 Tc00.1047053511025.120
Q4DF20 Tc00.1047053507001.80
Q4DIU9 Tc00.1047053511389.10
Q4DLE4 Tc00.1047053511311.7
Q4DNV5 Tc00.1047053505999.120
Q4DA76 Tc00.1047053510339.14
Q4CV62 Tc00.1047053505007.10
Q4DT48 Tc00.1047053511621.180
Q4CXY8 Tc00.1047053508059.50
Q4DGA1 Tc00.1047053506457.50
Q4DMM6 Tc00.1047053510055.160
Q4E5M5 Tc00.1047053506529.546
Q4CN98 Tc00.1047053510653.19
Q4E1N7 Tc00.1047053507093.200
Q4DAV0 Tc00.1047053507739.30
Q4DX60 Tc00.1047053506717.80
Q4E2L1 Tc00.1047053508479.140
Q4DIC6 Tc00.1047053509455.9
Q4DMC1 Tc00.1047053504131.120
Q4DSL3 Tc00.1047053511303.40
Q4CMX1 Tc00.1047053504209.10
Q4D465 Tc00.1047053510621.30
Q4DA56 Tc00.1047053507019.20
Q4DM66 Tc00.1047053508515.120
Q4DNU1 Tc00.1047053511003.90
Q4DPX8 Tc00.1047053507049.60
Q4DTD6 Tc00.1047053509157.100
Q4CKF8 Tc00.1047053445849.10
Q4DWV7 Tc00.1047053507875.30
Q4E585 Tc00.1047053506559.440
Q4D2V3 Tc00.1047053507179.14
Q4DAF0 Tc00.1047053510099.20
Q4DD29 Tc00.1047053507691.31
Q4DSU4 Tc00.1047053506227.250
Q4DT01 Tc00.1047053509631.60
Q4E495 Tc00.1047053508163.20
Q4CR51 Tc00.1047053509887.19
Q4DAY5 Tc00.1047053506579.20
Q4E0G2 Tc00.1047053510155.120
Q4DFC9 Tc00.1047053507017.150
Q4D514 Tc00.1047053504029.80
Q4D659 Tc00.1047053507849.50
Q4DF74 Tc00.1047053507687.10
Q4CKR5 Tc00.1047053418613.20
Q4CNQ1 Tc00.1047053511495.30
Q4CQD1 Tc00.1047053416605.15
Q4CT43 Tc00.1047053503555.30
Q4CW10 Tc00.1047053511305.10
Q4CZK6 Tc00.1047053510299.20
Q4D286 Tc00.1047053511677.10
Q4D5K8 Tc00.1047053508839.80
Q4DHW1 Tc00.1047053507649.60
Q4DLS5 Tc00.1047053509153.50
Q4DXU9 Tc00.1047053510719.80
Q4CM94 Tc00.1047053509245.29
Q4CV30 Tc00.1047053509297.20
Q4CYI9 Tc00.1047053506929.54
Q4D0P5 Tc00.1047053510301.70
Q4D394 Tc00.1047053506697.50
Q4D572 Tc00.1047053506883.9
Q4DAV2 Tc00.1047053504069.120
Q4E4U7 Tc00.1047053508461.146
Q4D3H7 Tc00.1047053507511.30
Q4DGM3 Tc00.1047053506671.90
Q4DLH6 Tc00.1047053503823.50
Q4E114 Tc00.1047053506247.400
Q4DGV5 Tc00.1047053507091.10
Q4DMM2 Tc00.1047053505943.40
Q4DQZ6 Tc00.1047053510089.130
Q4DUC5 Tc00.1047053506625.160
Q4DUZ0 Tc00.1047053510021.60
Q4D4E6 Tc00.1047053507857.60
Q4DWX7 Tc00.1047053510729.80
Q4DZ84 Tc00.1047053507023.20
Q4E222 Tc00.1047053506173.70
Q4E4U9 Tc00.1047053508461.142
Q4CTK0 Tc00.1047053508659.18
Q4D2W4 Tc00.1047053510737.10
Q4D7U3 Tc00.1047053504047.5
Q4D963 Tc00.1047053506725.40
Q4DAU4 Tc00.1047053507739.90
Q4CNB2 Tc00.1047053506439.9
Q4CXF7 Tc00.1047053507897.20
Q4DBL7 Tc00.1047053509461.90
Q4DL46 Tc00.1047053503893.10
Q4DSS5 Tc00.1047053507809.70
Q4D6V2 Tc00.1047053506621.30
Q4DQU8 Tc00.1047053511911.150
Q4DWA4 Tc00.1047053506989.20
Q4DN29 Tc00.1047053507615.76
Q4CTB6 Tc00.1047053509049.20
Q4CLH1 Tc00.1047053477957.10
Q4D966 Tc00.1047053506725.10
Q4DED7 Tc00.1047053506405.90
Q4DKF2 Tc00.1047053503697.140
Q4E175 Tc00.1047053511585.70
Q4D3Q4 Tc00.1047053510205.80
Q4D4A3 Tc00.1047053507883.80
Q4DG38 Tc00.1047053510761.73
Q4DNE2 Tc00.1047053504827.120
Q4DPG1 Tc00.1047053510565.100
Q4DQ91 Tc00.1047053508387.80
Q4DSI8 Tc00.1047053508543.129
Q4DUD7 Tc00.1047053506625.50
Q4DUQ3 Tc00.1047053504149.100
Q4DW04 Tc00.1047053507603.250
Q4E1G6 Tc00.1047053510483.154
Q4E666 Tc00.1047053508153.240
Q4DY94 Tc00.1047053506813.5
Q4D9R6 Tc00.1047053510557.76
Q4DN97 Tc00.1047053508541.220
Q4DPF5 Tc00.1047053510565.150
Q4DTR7 Tc00.1047053509695.20
Q4DVF5 Tc00.1047053506859.240
Q4E0N0 Tc00.1047053510307.220
Q4E138 Tc00.1047053506247.170
Q4DV43 Tc00.1047053508647.200
Q4CVC7 Tc00.1047053507645.70
Q4CZA4 Tc00.1047053508987.20
Q4D632 Tc00.1047053509617.40
Q4DBK0 Tc00.1047053510257.139
Q4DH70 Tc00.1047053509527.135
Q4DL00 Tc00.1047053511649.160
Q4DN93 Tc00.1047053506741.50
Q4DNY0 Tc00.1047053509099.59
Q4DPR4 Tc00.1047053511181.40
Q4DVD2 Tc00.1047053511217.90
Q4DVX3 Tc00.1047053510013.200
Q4E100 Tc00.1047053506245.220
Q4D0S0 Tc00.1047053509231.50
Q4CY84 Tc00.1047053510001.50
Q4D946 Tc00.1047053509059.50
Q4D9H0 Tc00.1047053508299.40
Q4DEZ6 Tc00.1047053508247.110
Q4DGP5 Tc00.1047053506835.99
Q4DHB3 Tc00.1047053511153.110
Q4DHS2 Tc00.1047053507787.90
Q4DI22 Tc00.1047053509229.40
Q4DIL1 Tc00.1047053504213.50
Q4DKN6 Tc00.1047053503897.90
Q4DLD5 Tc00.1047053506131.50
Q4DV61 Tc00.1047053508173.264
Q4E280 Tc00.1047053510275.400
Q4CNM8 Tc00.1047053509927.10
Q4CTE3 Tc00.1047053508579.30
Q4CV87 Tc00.1047053505073.30
Q4CW97 Tc00.1047053511839.20
Q4CWU9 Tc00.1047053509019.30
Q4CXY6 Tc00.1047053511779.31
Q4D029 Tc00.1047053506239.40
Q4D289 Tc00.1047053508239.30
Q4DAD2 Tc00.1047053508989.90
Q4DNA7 Tc00.1047053508541.80
Q4DNP6 Tc00.1047053507699.130
Q4DPI6 Tc00.1047053506513.110
Q4E0Z9 Tc00.1047053506245.250
Q4DJF2 Tc00.1047053507991.70
Q4DV28 Tc00.1047053506409.100
Q4D392 Tc00.1047053506697.70
Q4D4X8 Tc00.1047053509859.60
Q4D7Q2 Tc00.1047053510731.20
Q4D911 Tc00.1047053505171.10
Q4DDF2 Tc00.1047053510517.20
Q4DFJ5 Tc00.1047053508723.120
Q4DHD7 Tc00.1047053511167.10
Q4DIB4 Tc00.1047053509455.120
Q4DJG0 Tc00.1047053507257.170
Q4DKM3 Tc00.1047053506471.120
Q4DM02 Tc00.1047053510603.20
Q4CR65 Tc00.1047053511027.10
Q4CZT5 Tc00.1047053506507.10
Q4CUG0 Tc00.1047053509713.10
Q4D071 Tc00.1047053511873.5
Q4DI35 Tc00.1047053507653.30
Q4DIC0 Tc00.1047053509455.70
Q4DS23 Tc00.1047053510657.160
Q4DKC3 Tc00.1047053506355.120
Q4CR01 Tc00.1047053506007.40
Q4E3F4 Tc00.1047053507611.398
Q4CV53 Tc00.1047053509443.20
Q4E5N1 Tc00.1047053506529.508
Q4CV06 Tc00.1047053508029.10
Q4CPK7 Tc00.1047053508183.10
Q4D169 Tc00.1047053509149.40
Q4E2W3 Tc00.1047053508175.340
Q4D221 Tc00.1047053510513.30
Q4DE50 Tc00.1047053508699.40
Q4DW65 Tc00.1047053508231.60
Q4DA73 Tc00.1047053510339.50
Q4D0V6 Tc00.1047053511041.20
Q4DSX3 Tc00.1047053508347.110
Q4CP90 Tc00.1047053509855.20
Q4DZ98 Tc00.1047053504105.140
Q4D8U8 Tc00.1047053503781.60
Q4DGR3 Tc00.1047053506799.10
Q4DX24 Tc00.1047053508831.60
Q4DXQ0 Tc00.1047053510421.320
Q4D3K8 Tc00.1047053510725.90
Q4DGL9 Tc00.1047053511671.70
Q4DNF0 Tc00.1047053504827.40
Q4DQC5 Tc00.1047053506629.190
Q4DSI5 Tc00.1047053508543.160
Q4DUM3 Tc00.1047053509399.170
Q4DV23 Tc00.1047053506409.220
Q4DQU1 Tc00.1047053511821.60
Q4DXA8 Tc00.1047053506067.90
Q4DXT8 Tc00.1047053510719.200
Q4DZ40 Tc00.1047053511001.30
Q4CRH9 Tc00.1047053511139.20
Q4DA82 Tc00.1047053506795.60
Q4DSH3 Tc00.1047053507099.60
Q4DZV1 Tc00.1047053510105.30
Q4DPT2 Tc00.1047053507047.50
Q4E0E5 Tc00.1047053508999.80
Q4D1V0 Tc00.1047053511313.40
Q4DB44 Tc00.1047053507021.90
Q4DDQ1 Tc00.1047053510283.100
Q4DH20 Tc00.1047053506251.40
Q4DIT1 Tc00.1047053510285.70
Q4DJ81 Tc00.1047053507515.60
Q4CM64 Tc00.1047053511023.19
Q4CR94 Tc00.1047053503681.9
Q4D2H8 Tc00.1047053510561.7
Q4DA77 Tc00.1047053510339.7
Q4D3M4 Tc00.1047053506257.70
Q4DM99 Tc00.1047053506309.40
Q4DMJ8 Tc00.1047053508815.60
Q4DNE4 Tc00.1047053504827.100
Q4DUM1 Tc00.1047053509399.190
Q4E0H1 Tc00.1047053510155.50
Q4DRD7 Tc00.1047053506503.80
Q4D971 Tc00.1047053506691.60
Q4DAN1 Tc00.1047053506727.60
Q4DBR3 Tc00.1047053508625.130
Q4DCD9 Tc00.1047053507867.5
Q4DD25 Tc00.1047053507143.30
Q4DDH2 Tc00.1047053506793.70
Q4DEW4 Tc00.1047053510531.20
Q4DFA3 Tc00.1047053508209.159
Q4DFG6 Tc00.1047053506155.30
Q4DHU3 Tc00.1047053508465.140
Q4DIC1 Tc00.1047053509455.60
Q4DJR7 Tc00.1047053510715.150
Q4DLT4 Tc00.1047053509683.100
Q4DRN6 Tc00.1047053509023.100
Q4DWD2 Tc00.1047053509733.20
Q4CLL5 Tc00.1047053509923.9
Q4CV09 Tc00.1047053503401.20
Q4CVJ8 Tc00.1047053506291.20
Q4CW77 Tc00.1047053507077.9
Q4CWQ9 Tc00.1047053503837.5
Q4CX70 Tc00.1047053508233.40
Q4D0H8 Tc00.1047053511355.40
Q4D1K0 Tc00.1047053506179.40
Q4D1X1 Tc00.1047053508939.60
Q4D270 Tc00.1047053506895.20
Q4DG31 Tc00.1047053508241.50
Q4DN96 Tc00.1047053508541.225
Q4DRF7 Tc00.1047053508547.90
Q4E0K3 Tc00.1047053509429.260
Q4E177 Tc00.1047053511585.50
Q4CRM9 Tc00.1047053503747.10
Q4DMJ4 Tc00.1047053508815.100
Q4DNP0 Tc00.1047053506821.30
Q4E1V6 Tc00.1047053507993.250
Q4DIA0 Tc00.1047053506479.110
Q4CM74 Tc00.1047053509351.10
Q4CMK7 Tc00.1047053508167.29
Q4CPI6 Tc00.1047053509225.21
Q4CT84 Tc00.1047053504777.40
Q4CVH2 Tc00.1047053505843.24
Q4CY61 Tc00.1047053509793.40
Q4CZF3 Tc00.1047053510911.20
Q4D2G5 Tc00.1047053509215.30
Q4D5X4 Tc00.1047053506167.30
Q4D6J1 Tc00.1047053506721.20
Q4D724 Tc00.1047053506275.70
Q4DBL3 Tc00.1047053510257.10
Q4DDB2 Tc00.1047053505193.110
Q4DGR1 Tc00.1047053506799.30
Q4DKC8 Tc00.1047053506355.50
Q4DLX5 Tc00.1047053506753.160
Q4DWL8 Tc00.1047053507089.270
Q4CRS7 Tc00.1047053510315.30
Q4CYZ6 Tc00.1047053507689.30
Q4D4A5 Tc00.1047053507883.60
Q4D663 Tc00.1047053508199.70
Q4DAL4 Tc00.1047053507105.80
Q4DE83 Tc00.1047053510535.100
Q4DH04 Tc00.1047053511809.40
Q4DI17 Tc00.1047053509229.90
Q4DK71 Tc00.1047053509601.140
Q4DPL9 Tc00.1047053507801.50
Q4CL44 Tc00.1047053425839.10
Q4CS70 Tc00.1047053511033.10
Q4CY73 Tc00.1047053511323.40
Q4DGC5 Tc00.1047053510371.90
Q4DNG9 Tc00.1047053511099.70
Q4DYK4 Tc00.1047053506211.140
Q4CX84 Tc00.1047053509499.38
Q4D7C9 Tc00.1047053511237.50
Q4DA95 Tc00.1047053509991.9
Q4D5J7 Tc00.1047053510989.10
Q4D2J2 Tc00.1047053506971.10
Q4DUR3 Tc00.1047053507951.299
Q4E2R1 Tc00.1047053504153.220
Q4CM34 Tc00.1047053440099.10
Q4E5P0 Tc00.1047053506529.420
Q4CS71 Tc00.1047053508215.10
Q4CM16 Tc00.1047053508947.5
Q4CZ97 Tc00.1047053506609.80
Q4DYX2 Tc00.1047053507237.210
Q4E1L6 Tc00.1047053508909.80
Q4E2P0 Tc00.1047053510889.100
Q4E352 Tc00.1047053508741.200
Q4E4I6 Tc00.1047053506885.110
Q4E506 Tc00.1047053508873.330
Q4D7G2 Tc00.1047053511731.35
Q4CPQ5 Tc00.1047053511623.10
Q4CTA2 Tc00.1047053510231.29
Q4CYX0 Tc00.1047053508535.20
Q4DGL1 Tc00.1047053511671.149
Q4DRW2 Tc00.1047053507669.100
Q4E2X1 Tc00.1047053508175.260
Q4E5J7 Tc00.1047053511183.560
Q4CM91 Tc00.1047053508191.10
Q4DA01 Tc00.1047053511281.20
Q4CLH6 Tc00.1047053425311.9
Q4CMS1 Tc00.1047053509995.29
Q4CMW8 Tc00.1047053509173.9
Q4CQJ6 Tc00.1047053507251.30
Q4D5C6 Tc00.1047053510239.80
Q4D6K4 Tc00.1047053505939.80
Q4D913 Tc00.1047053507513.100
Q4DFG1 Tc00.1047053506155.80
Q4DII8 Tc00.1047053509799.130
Q4DK58 Tc00.1047053511871.110
Q4CKC3 Tc00.1047053426675.9
Q4D8S8 Tc00.1047053504233.50
Q4DAS9 Tc00.1047053510143.90
Q4DD28 Tc00.1047053507691.50
Q4E1A6 Tc00.1047053503973.170
Q4E4T6 Tc00.1047053508461.250
Q4DT68 Tc00.1047053511511.150
Q4D4R4 Tc00.1047053504163.100
Q4D763 Tc00.1047053504159.70
Q4D842 Tc00.1047053508081.60
Q4DCA9 Tc00.1047053506933.60
Q4DGC2 Tc00.1047053510371.120
Q4DJI9 Tc00.1047053509551.110
Q4DXA1 Tc00.1047053506067.270
Q4E2E9 Tc00.1047053509979.10
Q4DQF0 Tc00.1047053506773.120
Q4DX53 Tc00.1047053508257.60
Q4DYD8 Tc00.1047053506321.300
Q4E3B0 Tc00.1047053508355.180
Q4DZM1 Tc00.1047053504147.250
Q4DC48 Tc00.1047053506281.70
Q4DXP6 Tc00.1047053510363.90
Q4E214 Tc00.1047053506173.310
Q4E3S5 Tc00.1047053506401.180
Q4CYA2 Tc00.1047053509627.10
Q4CYQ0 Tc00.1047053506041.50
Q4D0M7 Tc00.1047053509393.10
Q4D1Z2 Tc00.1047053511547.10
Q4D2U2 Tc00.1047053503599.20
Q4D2Y3 Tc00.1047053510903.20
Q4D4Q2 Tc00.1047053506229.30
Q4D555 Tc00.1047053511483.30
Q4D6G0 Tc00.1047053507803.49
Q4D877 Tc00.1047053509171.60
Q4DIQ4 Tc00.1047053506635.80
Q4DRN4 Tc00.1047053509023.120
Q4DI98 Tc00.1047053506479.130
Q4E3S7 Tc00.1047053506401.160
Q4D2M6 Tc00.1047053506931.10
Q4E256 Tc00.1047053508707.200
Q4D4D5 Tc00.1047053503431.100
Q4DRC4 Tc00.1047053509693.70
Q4DSL1 Tc00.1047053511303.60
Q4CSL9 Tc00.1047053506489.30
Q4D3U8 Tc00.1047053505945.20
Q4DDI7 Tc00.1047053510181.60
Q4DEL5 Tc00.1047053507941.110
Q4DTI0 Tc00.1047053508737.40
Q4CWB3 Tc00.1047053508369.50
Q4E4C4 Tc00.1047053510187.270
Q4DWV8 Tc00.1047053507875.20
Q4CUV9 Tc00.1047053510595.58
Q4E1H0 Tc00.1047053510483.60
Q4CM24 Tc00.1047053510193.10
Q4CMC6 Tc00.1047053506935.10
Q4CN64 Tc00.1047053509935.10
Q4D4K5 Tc00.1047053503885.10
Q4D5T1 Tc00.1047053511711.50
Q4D6A6 Tc00.1047053511171.90
Q4DH71 Tc00.1047053509527.130
Q4DIM8 Tc00.1047053509777.64
Q4DJU3 Tc00.1047053511717.174
Q4D195 Tc00.1047053511419.20
Q4E591 Tc00.1047053506559.380
Q4D798 Tc00.1047053506315.70
Q4CU09 Tc00.1047053503773.9
Q4D4L9 Tc00.1047053507663.80
Q4DNZ7 Tc00.1047053507519.110
Q4D3B3 Tc00.1047053508413.20
Q4E3W4 Tc00.1047053510629.450
Q4E5R3 Tc00.1047053506529.170
Q4D433 Tc00.1047053510599.30
Q4DHP7 Tc00.1047053511491.30
Q4CM05 Tc00.1047053511493.10
Q4DQ86 Tc00.1047053508387.130
